"Id","Phylum","Class","Order","Family","Genus"
"fun_ASV_113","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Strobilurus"
"fun_ASV_53","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
"fun_ASV_44","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"fun_ASV_115","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys"
"fun_ASV_108","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_127",NA,NA,NA,NA,NA
"fun_ASV_103",NA,NA,NA,NA,NA
"fun_ASV_61","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_138",NA,NA,NA,NA,NA
"fun_ASV_116",NA,NA,NA,NA,NA
"fun_ASV_58","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales family incertae sedis","Candida"
"fun_ASV_117","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Neopestalotiopsis"
"fun_ASV_18","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia"
"fun_ASV_169","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
"fun_ASV_170","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Pestalotiopsis"
"fun_ASV_176",NA,NA,NA,NA,NA
"fun_ASV_126","Ascomycota","Dothideomycetes","Pleosporales","Pyrenochaetopsidaceae","Pyrenochaetopsis"
"fun_ASV_104","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
"fun_ASV_167",NA,NA,NA,NA,NA
"fun_ASV_114","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_84",NA,NA,NA,NA,NA
"fun_ASV_72",NA,NA,NA,NA,NA
"fun_ASV_69","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"fun_ASV_141",NA,NA,NA,NA,NA
"fun_ASV_79",NA,NA,NA,NA,NA
"fun_ASV_107","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium"
"fun_ASV_129","Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Pestalotiopsis"
"fun_ASV_118","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
"fun_ASV_130",NA,NA,NA,NA,NA
"fun_ASV_128","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_133","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales family incertae sedis","Candida"
"fun_ASV_123",NA,NA,NA,NA,NA
"fun_ASV_165",NA,NA,NA,NA,NA
"fun_ASV_98","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_125","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"fun_ASV_152",NA,NA,NA,NA,NA
"fun_ASV_142",NA,NA,NA,NA,NA
"fun_ASV_156",NA,NA,NA,NA,NA
"fun_ASV_139","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"fun_ASV_157","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lycoperdon"
"fun_ASV_181","Ascomycota","Sordariomycetes","Pseudodactylariales","Pseudodactylariaceae","Pseudodactylaria"
